Institution,Site,Academic_Year,Term,ZIP_Code,Full_or_Part_Time,Headcount
SLCC,SLCC Airport Center,2020,2,84118,Full-Time,2
SLCC,SLCC Airport Center,2020,2,84119,Full-Time,4
SLCC,SLCC Airport Center,2020,2,84119,Part-Time,2
SLCC,SLCC Airport Center,2020,2,84120,Full-Time,2
SLCC,SLCC Airport Center,2020,2,84121,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84121,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84123,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84128,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84129,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84170,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84310,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84403,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84404,Full-Time,3
SLCC,SLCC Airport Center,2020,2,84405,Full-Time,2
SLCC,SLCC Airport Center,2020,2,84601,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84601,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84604,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84606,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84660,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84663,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84664,Part-Time,1
SLCC,SLCC Airport Center,2020,2,84749,Full-Time,1
SLCC,SLCC Airport Center,2020,2,84790,Full-Time,1
SLCC,SLCC Herriman Center,2020,2,84003,Part-Time,4
SLCC,SLCC Herriman Center,2020,2,84005,Part-Time,5
SLCC,SLCC Herriman Center,2020,2,84009,Part-Time,21
SLCC,SLCC Herriman Center,2020,2,84010,Part-Time,2
SLCC,SLCC Herriman Center,2020,2,84014,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84015,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84017,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84020,Part-Time,12
SLCC,SLCC Herriman Center,2020,2,84025,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84037,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84040,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84043,Part-Time,7
SLCC,SLCC Herriman Center,2020,2,84044,Part-Time,2
SLCC,SLCC Herriman Center,2020,2,84045,Part-Time,4
SLCC,SLCC Herriman Center,2020,2,84047,Part-Time,4
SLCC,SLCC Herriman Center,2020,2,84054,Part-Time,3
SLCC,SLCC Herriman Center,2020,2,84062,Part-Time,2
SLCC,SLCC Herriman Center,2020,2,84065,Part-Time,16
SLCC,SLCC Herriman Center,2020,2,84070,Part-Time,3
SLCC,SLCC Herriman Center,2020,2,84074,Part-Time,4
SLCC,SLCC Herriman Center,2020,2,84081,Part-Time,12
SLCC,SLCC Herriman Center,2020,2,84084,Part-Time,6
SLCC,SLCC Herriman Center,2020,2,84087,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84088,Part-Time,9
SLCC,SLCC Herriman Center,2020,2,84091,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84092,Part-Time,3
SLCC,SLCC Herriman Center,2020,2,84094,Part-Time,4
SLCC,SLCC Herriman Center,2020,2,84095,Part-Time,9
SLCC,SLCC Herriman Center,2020,2,84096,Full-Time,2
SLCC,SLCC Herriman Center,2020,2,84096,Part-Time,91
SLCC,SLCC Herriman Center,2020,2,84102,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84103,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84104,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84107,Part-Time,4
SLCC,SLCC Herriman Center,2020,2,84109,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84111,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84116,Part-Time,2
SLCC,SLCC Herriman Center,2020,2,84118,Part-Time,5
SLCC,SLCC Herriman Center,2020,2,84119,Part-Time,9
SLCC,SLCC Herriman Center,2020,2,84120,Part-Time,6
SLCC,SLCC Herriman Center,2020,2,84121,Part-Time,2
SLCC,SLCC Herriman Center,2020,2,84128,Part-Time,6
SLCC,SLCC Herriman Center,2020,2,84129,Part-Time,4
SLCC,SLCC Herriman Center,2020,2,84335,Part-Time,2
SLCC,SLCC Herriman Center,2020,2,84341,Part-Time,2
SLCC,SLCC Herriman Center,2020,2,84660,Part-Time,1
SLCC,SLCC Herriman Center,2020,2,84790,Part-Time,2
SLCC,SLCC Jordan Campus,2020,2,84003,Full-Time,4
SLCC,SLCC Jordan Campus,2020,2,84003,Part-Time,39
SLCC,SLCC Jordan Campus,2020,2,84004,Full-Time,4
SLCC,SLCC Jordan Campus,2020,2,84004,Part-Time,11
SLCC,SLCC Jordan Campus,2020,2,84005,Full-Time,3
SLCC,SLCC Jordan Campus,2020,2,84005,Part-Time,38
SLCC,SLCC Jordan Campus,2020,2,84006,Part-Time,1
SLCC,SLCC Jordan Campus,2020,2,84009,Full-Time,9
SLCC,SLCC Jordan Campus,2020,2,84009,Part-Time,186
SLCC,SLCC Jordan Campus,2020,2,84010,Full-Time,2
SLCC,SLCC Jordan Campus,2020,2,84010,Part-Time,38
SLCC,SLCC Jordan Campus,2020,2,84011,Full-Time,1
SLCC,SLCC Jordan Campus,2020,2,84013,Part-Time,2
SLCC,SLCC Jordan Campus,2020,2,84014,Full-Time,2
SLCC,SLCC Jordan Campus,2020,2,84014,Part-Time,4
SLCC,SLCC Jordan Campus,2020,2,84015,Full-Time,3
SLCC,SLCC Jordan Campus,2020,2,84015,Part-Time,12
SLCC,SLCC Jordan Campus,2020,2,84017,Part-Time,3
SLCC,SLCC Jordan Campus,2020,2,84020,Full-Time,13
SLCC,SLCC Jordan Campus,2020,2,84020,Part-Time,126
SLCC,SLCC Jordan Campus,2020,2,84025,Full-Time,1
SLCC,SLCC Jordan Campus,2020,2,84025,Part-Time,8
SLCC,SLCC Jordan Campus,2020,2,84029,Part-Time,18
SLCC,SLCC Jordan Campus,2020,2,84032,Part-Time,11
SLCC,SLCC Jordan Campus,2020,2,84033,Part-Time,1
SLCC,SLCC Jordan Campus,2020,2,84036,Part-Time,4
SLCC,SLCC Jordan Campus,2020,2,84037,Full-Time,2
SLCC,SLCC Jordan Campus,2020,2,84037,Part-Time,13
SLCC,SLCC Jordan Campus,2020,2,84040,Full-Time,2
SLCC,SLCC Jordan Campus,2020,2,84040,Part-Time,11
SLCC,SLCC Jordan Campus,2020,2,84041,Full-Time,1
SLCC,SLCC Jordan Campus,2020,2,84041,Part-Time,7
SLCC,SLCC Jordan Campus,2020,2,84042,Full-Time,1
SLCC,SLCC Jordan Campus,2020,2,84042,Part-Time,5
SLCC,SLCC Jordan Campus,2020,2,84043,Full-Time,6
SLCC,SLCC Jordan Campus,2020,2,84043,Part-Time,63
SLCC,SLCC Jordan Campus,2020,2,84044,Full-Time,2
SLCC,SLCC Jordan Campus,2020,2,84044,Part-Time,46
SLCC,SLCC Jordan Campus,2020,2,84045,Full-Time,1
SLCC,SLCC Jordan Campus,2020,2,84045,Part-Time,29
SLCC,SLCC Jordan Campus,2020,2,84047,Full-Time,9
SLCC,SLCC Jordan Campus,2020,2,84047,Part-Time,88
SLCC,SLCC Jordan Campus,2020,2,84049,Full-Time,1
SLCC,SLCC Jordan Campus,2020,2,84049,Part-Time,2
SLCC,SLCC Jordan Campus,2020,2,84050,Part-Time,4
SLCC,SLCC Jordan Campus,2020,2,84054,Full-Time,3
SLCC,SLCC Jordan Campus,2020,2,84054,Part-Time,19
SLCC,SLCC Jordan Campus,2020,2,84055,Part-Time,1
SLCC,SLCC Jordan Campus,2020,2,84057,Full-Time,1
SLCC,SLCC Jordan Campus,2020,2,84057,Part-Time,14
SLCC,SLCC Jordan Campus,2020,2,84058,Full-Time,2
SLCC,SLCC Jordan Campus,2020,2,84058,Part-Time,13
SLCC,SLCC Jordan Campus,2020,2,84059,Part-Time,5
SLCC,SLCC Jordan Campus,2020,2,84060,Part-Time,10
SLCC,SLCC Jordan Campus,2020,2,84062,Full-Time,2
SLCC,SLCC Jordan Campus,2020,2,84062,Part-Time,24
SLCC,SLCC Jordan Campus,2020,2,84065,Full-Time,11
SLCC,SLCC Jordan Campus,2020,2,84065,Part-Time,217
SLCC,SLCC Jordan Campus,2020,2,84066,Part-Time,1
SLCC,SLCC Jordan Campus,2020,2,84067,Part-Time,1
SLCC,SLCC Jordan Campus,2020,2,84068,Part-Time,1
SLCC,SLCC Jordan Campus,2020,2,84070,Full-Time,5
SLCC,SLCC Jordan Campus,2020,2,84070,Part-Time,93
SLCC,SLCC Jordan Campus,2020,2,84074,Full-Time,5
SLCC,SLCC Jordan Campus,2020,2,84074,Part-Time,50
SLCC,SLCC Jordan Campus,2020,2,84075,Part-Time,6
SLCC,SLCC Jordan Campus,2020,2,84078,Part-Time,3
SLCC,SLCC Jordan Campus,2020,2,84079,Part-Time,1
SLCC,SLCC Jordan Campus,2020,2,84081,Full-Time,15
SLCC,SLCC Jordan Campus,2020,2,84081,Part-Time,301
SLCC,SLCC Jordan Campus,2020,2,84083,Part-Time,1
SLCC,SLCC Jordan Campus,2020,2,84084,Full-Time,8
SLCC,SLCC Jordan Campus,2020,2,84084,Part-Time,141
SLCC,SLCC Jordan Campus,2020,2,84087,Full-Time,2
SLCC,SLCC Jordan Campus,2020,2,84087,Part-Time,9
SLCC,SLCC Jordan Campus,2020,2,84088,Full-Time,22
SLCC,SLCC Jordan Campus,2020,2,84088,Part-Time,238
SLCC,SLCC Jordan Campus,2020,2,84090,Part-Time,1
SLCC,SLCC Jordan Campus,2020,2,84092,Full-Time,7
SLCC,SLCC Jordan Campus,2020,2,84092,Part-Time,83
SLCC,SLCC Jordan Campus,2020,2,84093,Full-Time,1
SLCC,SLCC Jordan Campus,2020,2,84093,Part-Time,55
SLCC,SLCC Jordan Campus,2020,2,84094,Full-Time,10
SLCC,SLCC Jordan Campus,2020,2,84094,Part-Time,82
SLCC,SLCC Jordan Campus,2020,2,84095,Full-Time,25
SLCC,SLCC Jordan Campus,2020,2,84095,Part-Time,189
SLCC,SLCC Jordan Campus,2020,2,84096,Full-Time,25
SLCC,SLCC Jordan Campus,2020,2,84096,Part-Time,315
SLCC,SLCC Jordan Campus,2020,2,84097,Full-Time,2
SLCC,SLCC Jordan Campus,2020,2,84097,Part-Time,12
SLCC,SLCC Jordan Campus,2020,2,84098,Full-Time,1
SLCC,SLCC Jordan Campus,2020,2,84098,Part-Time,12
SLCC,SLCC Jordan Campus,2020,2,84101,Full-Time,1
SLCC,SLCC Jordan Campus,2020,2,84101,Part-Time,16
SLCC,SLCC Jordan Campus,2020,2,84102,Full-Time,3
SLCC,SLCC Jordan Campus,2020,2,84102,Part-Time,17
SLCC,SLCC Jordan Campus,2020,2,84103,Full-Time,1
SLCC,SLCC Jordan Campus,2020,2,84103,Part-Time,25
SLCC,SLCC Jordan Campus,2020,2,84104,Full-Time,3
SLCC,SLCC Jordan Campus,2020,2,84104,Part-Time,25
SLCC,SLCC Jordan Campus,2020,2,84105,Full-Time,1
SLCC,SLCC Jordan Campus,2020,2,84105,Part-Time,21
SLCC,SLCC Jordan Campus,2020,2,84106,Full-Time,5
SLCC,SLCC Jordan Campus,2020,2,84106,Part-Time,47
SLCC,SLCC Jordan Campus,2020,2,84107,Full-Time,8
